REGIONC,DIVISION,state_name,BA_climate,TYPEHUQ,YEARMADERANGE,WALLTYPE,SWIMPOOL,RECBATH,FUELTUB,RANGEFUEL,OUTGRILLFUEL,DWASHUSE,DRYRFUEL,EQUIPM,FUELHEAT,FUELH2O,MONEYPY,CARBFTP
3,4,31,4,5,3,1,-2,1,-2,5,-2,1,-2,2,1,1,11,100.0
2,1,24,5,5,7,3,-2,1,-2,5,23,0,5,4,5,5,8,[68.42163581]
3,4,2,1,5,5,4,-2,1,5,5,-2,0,-2,4,5,5,9,[70.30535353]
3,6,4,1,3,3,4,1,0,-2,1,-2,0,5,5,5,5,9,[56.34373235]
3,4,31,4,2,6,4,0,1,-2,5,-2,7,5,2,1,1,16,[56.09944687]
1,5,21,0,2,5,2,1,0,-2,5,2,7,5,8,7,5,15,100.0
3,4,2,1,2,8,4,1,1,5,-2,2,1,5,-2,-2,5,13,[92.71677645]
3,6,4,1,2,1,3,1,0,-2,13,1,1,5,3,1,1,15,100.0
0,8,25,5,2,2,1,1,0,-2,-2,-2,3,5,3,1,1,11,[70.47896632]
3,6,4,1,2,6,4,1,1,5,5,2,-2,5,3,1,1,15,[81.41785389]
3,4,28,1,2,6,4,1,1,1,1,2,1,1,3,1,1,7,[37.83654687]
2,1,42,5,2,6,1,0,1,-2,5,2,1,5,3,1,1,13,[70.98702775]
0,0,22,0,2,4,3,0,1,5,5,2,3,5,3,2,5,13,[76.61882926]
1,2,30,5,2,3,3,1,1,5,13,2,4,5,3,1,5,16,100.0
3,6,4,1,2,1,4,1,0,-2,1,1,5,1,3,1,1,16,100.0
1,5,21,0,2,2,3,1,1,5,13,2,4,5,3,1,1,15,[88.41451418]
2,9,43,5,2,4,1,1,0,-2,1,1,2,5,3,1,1,16,100.0
2,7,46,5,2,2,3,1,0,-2,5,2,-2,1,2,1,1,9,[63.79419942]
2,7,10,2,1,9,3,1,0,-2,5,2,7,5,3,5,5,13,[94.97270667]
2,1,42,5,2,9,3,1,0,-2,5,2,2,5,5,5,5,14,100.0
3,6,4,1,2,6,4,1,1,1,1,2,3,1,3,1,1,16,[93.9551772]
3,4,2,1,2,7,4,1,1,1,13,2,1,5,3,1,1,16,[89.49510266]
