REGIONC,DIVISION,state_name,BA_climate,TYPEHUQ,YEARMADERANGE,WALLTYPE,SWIMPOOL,RECBATH,FUELTUB,RANGEFUEL,OUTGRILLFUEL,DWASHUSE,DRYRFUEL,EQUIPM,FUELHEAT,FUELH2O,MONEYPY,CARBFTP
WEST,Mountain South,New Mexico,Mixed-Dry,5,3,1,-2,1,-2,5,-2,1,-2,2,1,1,11,9
SOUTH,East South Central,Mississippi,Mixed-Humid,5,7,3,-2,1,-2,5,23,0,5,4,5,5,8,15
WEST,Mountain South,Arizona,Hot-Dry,5,5,4,-2,1,5,5,-2,0,-2,4,5,5,9,14
WEST,Pacific,California,Hot-Dry,3,3,4,1,0,-2,1,-2,0,5,5,5,5,9,10
WEST,Mountain South,New Mexico,Mixed-Dry,2,6,4,0,1,-2,5,-2,7,5,2,1,1,16,12
NORTHEAST,New England,Massachusetts,Cold,2,5,2,1,0,-2,5,2,7,5,8,7,5,15,9
WEST,Mountain South,Arizona,Hot-Dry,2,8,4,1,1,5,-2,2,1,5,-2,-2,5,13,14
WEST,Pacific,California,Hot-Dry,2,1,3,1,0,-2,13,1,1,5,3,1,1,15,6
MIDWEST,West North Central,Missouri,Mixed-Humid,2,2,1,1,0,-2,-2,-2,3,5,3,1,1,11,5
WEST,Pacific,California,Hot-Dry,2,6,4,1,1,5,5,2,-2,5,3,1,1,15,12
WEST,Mountain South,Nevada,Hot-Dry,2,6,4,1,1,1,1,2,1,1,3,1,1,7,12
SOUTH,East South Central,Tennessee,Mixed-Humid,2,6,1,0,1,-2,5,2,1,5,3,1,1,13,9
MIDWEST,East North Central,Michigan,Cold,2,4,3,0,1,5,5,2,3,5,3,2,5,13,9
NORTHEAST,Middle Atlantic,New Jersey,Mixed-Humid,2,3,3,1,1,5,13,2,4,5,3,1,5,16,8
WEST,Pacific,California,Hot-Dry,2,1,4,1,0,-2,1,1,5,1,3,1,1,16,7
NORTHEAST,New England,Massachusetts,Cold,2,2,3,1,1,5,13,2,4,5,3,1,1,15,7
SOUTH,West South Central,Texas,Mixed-Humid,2,4,1,1,0,-2,1,1,2,5,3,1,1,16,7
SOUTH,South Atlantic,Virginia,Mixed-Humid,2,2,3,1,0,-2,5,2,-2,1,2,1,1,9,7
SOUTH,South Atlantic,Georgia,Hot-Humid,1,9,3,1,0,-2,5,2,7,5,3,5,5,13,13
SOUTH,East South Central,Tennessee,Mixed-Humid,2,9,3,1,0,-2,5,2,2,5,5,5,5,14,14
WEST,Pacific,California,Hot-Dry,2,6,4,1,1,1,1,2,3,1,3,1,1,16,12
WEST,Mountain South,Arizona,Hot-Dry,2,7,4,1,1,1,13,2,1,5,3,1,1,16,13
MIDWEST,East North Central,Ohio,Cold,2,7,3,0,1,-2,1,-2,5,5,3,1,1,14,12
SOUTH,East South Central,Tennessee,Mixed-Humid,2,7,3,0,1,-2,5,-2,4,5,3,1,1,14,12
WEST,Pacific,Alaska,Very-Cold,3,5,3,0,1,-2,-2,-2,10,1,3,1,1,14,11
SOUTH,West South Central,Louisiana,Hot-Humid,2,7,1,1,0,-2,-2,2,1,5,3,1,1,15,10
MIDWEST,East North Central,Illinois,Cold,2,5,3,1,1,5,5,2,7,5,3,1,1,15,10
NORTHEAST,Middle Atlantic,New York,Cold,2,4,3,1,0,-2,5,2,-2,5,2,3,5,14,9
SOUTH,East South Central,Kentucky,Mixed-Humid,2,6,1,1,0,-2,-2,23,1,5,3,1,5,16,9
WEST,Mountain North,Colorado,Cold,2,2,1,0,1,-2,-2,1,1,5,3,1,1,15,5
MIDWEST,East North Central,Indiana,Mixed-Humid,2,4,1,1,0,-2,5,2,3,5,3,1,1,16,7
NORTHEAST,New England,Massachusetts,Cold,2,1,3,0,1,-2,1,2,7,1,2,1,1,16,6
SOUTH,West South Central,Texas,Hot-Humid,2,4,1,1,1,2,5,2,-2,-2,3,5,5,13,7
SOUTH,West South Central,Texas,Hot-Humid,2,6,3,0,1,2,2,-2,5,5,3,2,2,14,11
MIDWEST,East North Central,Ohio,Cold,2,5,3,1,0,-2,1,2,3,5,3,1,5,14,10
NORTHEAST,Middle Atlantic,New York,Mixed-Humid,2,2,3,1,1,5,2,2,5,5,3,3,3,16,7
SOUTH,South Atlantic,Florida,Hot-Humid,2,4,4,1,0,-2,5,2,3,5,4,5,5,14,10
MIDWEST,East North Central,Indiana,Cold,2,2,1,0,1,5,5,2,0,5,3,2,2,15,5
WEST,Pacific,Washington,Marine,2,1,2,1,0,-2,-2,2,6,5,4,5,5,14,5
SOUTH,West South Central,Texas,Hot-Humid,2,5,1,1,1,1,-2,23,7,5,3,1,1,16,8
NORTHEAST,New England,Maine,Cold,2,4,3,1,0,-2,2,2,7,5,2,3,3,13,9
SOUTH,West South Central,Texas,Hot-Humid,2,7,1,0,1,-2,-2,23,0,5,3,1,5,14,10
WEST,Pacific,Alaska,Very-Cold,2,5,2,0,1,1,1,2,5,1,3,1,1,14,9
SOUTH,South Atlantic,North Carolina,Mixed-Humid,2,5,2,0,1,-2,-2,2,3,5,4,5,5,14,9
SOUTH,West South Central,Texas,Hot-Dry,2,7,2,1,0,-2,1,23,0,5,7,1,1,6,11
NORTHEAST,Middle Atlantic,New York,Cold,2,3,7,0,1,-2,5,2,1,5,3,2,5,14,12
WEST,Pacific,California,Hot-Dry,2,2,4,1,1,1,1,1,0,1,3,1,5,14,8
NORTHEAST,New England,New Hampshire,Cold,2,1,3,0,1,-2,2,1,7,5,8,7,5,16,6
WEST,Mountain South,Arizona,Hot-Dry,5,3,1,-2,1,5,5,-2,1,-2,3,1,1,10,9
MIDWEST,East North Central,Wisconsin,Cold,2,6,3,0,1,-2,13,2,7,5,3,1,1,11,11
SOUTH,East South Central,Alabama,Hot-Humid,2,8,6,0,1,-2,2,-2,-2,5,4,5,5,6,16
WEST,Pacific,California,Hot-Dry,2,4,4,0,1,5,5,23,5,5,3,1,1,16,10
MIDWEST,East North Central,Ohio,Cold,2,2,5,1,0,-2,13,2,3,5,3,1,1,16,9
NORTHEAST,New England,New Hampshire,Cold,2,6,3,1,0,-2,-2,-2,4,5,2,3,3,15,11
SOUTH,South Atlantic,North Carolina,Mixed-Humid,2,6,2,1,0,-2,1,2,2,5,3,1,1,11,10
NORTHEAST,New England,New Hampshire,Cold,2,6,3,1,0,-2,-2,2,5,5,2,2,2,16,11
WEST,Pacific,California,Hot-Dry,2,3,4,0,1,5,13,2,0,1,3,1,1,16,9
MIDWEST,West North Central,South Dakota,Cold,2,6,3,0,1,5,5,2,-2,5,3,2,2,15,11
NORTHEAST,New England,New Hampshire,Cold,2,4,3,1,1,5,5,2,0,5,2,3,5,14,9
WEST,Pacific,Washington,Marine,2,4,3,0,1,1,5,2,3,5,3,1,1,14,9
SOUTH,West South Central,Texas,Hot-Humid,2,6,1,1,0,-2,-2,23,5,5,3,1,1,16,9
MIDWEST,East North Central,Ohio,Cold,3,7,3,0,1,-2,-2,1,6,-2,3,1,5,16,13
